,book_id,isbn,title,genre,format,publication_year,list_price,author_id,publisher_id
0,182,978-529-93748-89-7,The Long Road Vol. 6,Biography,Paperback,2006,19.23,1,1
1,226,978-119-67807-50-6,The Lost Century Vol. 2,History,Hardcover,2008,28.46,2,2
2,215,978-578-75373-49-7,Empire Rising Vol. 7,History,Paperback,2020,34.94,3,3
3,236,978-856-14888-32-6,Turning Points Vol. 4,History,Hardcover,2012,31.17,4,4
4,211,978-161-30719-66-6,Empire Rising Vol. 3,History,Audiobook,2007,19.1,5,2
5,175,978-936-36174-87-2,Against All Odds Vol. 7,Biography,Audiobook,2018,26.09,6,1
6,115,978-923-70981-46-8,First Contact Vol. 3,Science Fiction,Audiobook,2005,17.67,7,1
7,89,978-518-69048-98-9,The Outer Reaches,Science Fiction,Paperback,2010,27.76,8,2
8,24,978-789-95649-92-1,A Thousand Tomorrows Vol. 8,Fiction,eBook,2019,23.39,9,5
9,219,978-386-91689-97-9,When Nations Fall Vol. 3,History,Hardcover,2019,22.13,10,1
10,58,978-752-46347-76-7,No Trace Found Vol. 2,Mystery,Audiobook,2012,24.29,6,6
11,6,978-777-39871-47-1,The Quiet Hours Vol. 6,Fiction,eBook,2007,28.62,4,7
12,154,978-982-51033-83-6,Emberfall Vol. 2,Fantasy,Hardcover,2019,23.82,11,5
13,183,978-627-85372-40-2,The Long Road Vol. 7,Biography,Audiobook,2005,29.28,11,8
14,118,978-108-84177-97-0,First Contact Vol. 6,Science Fiction,eBook,2017,9.74,12,1
15,134,978-115-56955-40-9,Shadow Realm Vol. 6,Fantasy,Paperback,2005,12.73,10,1
16,170,978-884-73736-34-3,Against All Odds Vol. 2,Biography,eBook,2011,19.49,13,4
17,73,978-948-70258-29-6,Shadows Remain,Mystery,Audiobook,2016,12.58,14,5
18,87,978-553-48974-85-6,Orbit Zero Vol. 7,Science Fiction,Paperback,2017,35.36,15,7
19,67,978-765-18993-93-0,The Cold Case Vol. 3,Mystery,Hardcover,2016,42.99,5,4
20,231,978-453-29198-47-0,The Lost Century Vol. 7,History,Audiobook,2017,39.45,4,8
21,76,978-599-37802-55-4,Shadows Remain Vol. 4,Mystery,eBook,2015,9.97,9,5
22,10,978-680-51245-37-7,Between Two Worlds Vol. 2,Fiction,eBook,2007,22.63,2,4
23,88,978-740-37659-43-1,Orbit Zero Vol. 8,Science Fiction,Hardcover,2008,29.72,4,7
24,233,978-348-16653-95-8,Turning Points,History,eBook,2023,13.66,16,9
25,216,978-697-56254-16-0,Empire Rising Vol. 8,History,Audiobook,2012,26.18,14,8
26,33,978-407-69929-50-1,Edge of Home,Fiction,Paperback,2009,18.02,17,3
27,243,978-163-97528-25-7,Your Best Self Vol. 3,Self-Help,Hardcover,2016,17.88,12,7
28,121,978-402-52823-63-2,The Iron Crown,Fantasy,Hardcover,2009,28.7,4,10
29,19,978-652-36365-49-6,A Thousand Tomorrows Vol. 3,Fiction,eBook,2018,26.93,10,6
30,98,978-944-10150-94-8,Signal Lost Vol. 2,Science Fiction,Hardcover,2017,41.98,18,3
31,36,978-370-25129-23-8,Edge of Home Vol. 4,Fiction,eBook,2008,40.67,14,9
32,37,978-803-93130-43-8,Edge of Home Vol. 5,Fiction,eBook,2015,29.55,19,1
33,125,978-791-40647-70-0,The Iron Crown Vol. 5,Fantasy,Audiobook,2016,36.95,13,1
34,15,978-880-33416-74-1,Between Two Worlds Vol. 7,Fiction,Paperback,2013,24.42,4,5
35,148,978-895-84395-86-1,The Last Mage Vol. 4,Fantasy,eBook,2014,14.34,20,10
36,34,978-371-27361-54-1,Edge of Home Vol. 2,Fiction,Hardcover,2011,11.48,14,10
37,248,978-219-99167-36-9,Your Best Self Vol. 8,Self-Help,Paperback,2021,14.58,12,9
38,52,978-584-32241-94-1,Dead by Dawn Vol. 4,Mystery,Audiobook,2011,24.01,21,3
39,49,978-421-96951-25-4,Dead by Dawn,Mystery,Hardcover,2015,41.25,13,5
40,64,978-646-13534-60-9,No Trace Found Vol. 8,Mystery,Paperback,2009,37.57,9,5
41,43,978-263-24168-58-0,The Last Clue Vol. 3,Mystery,Audiobook,2012,36.27,8,3
42,187,978-145-56176-79-5,Becoming More Vol. 3,Biography,Hardcover,2015,35.22,13,2
43,228,978-570-79878-53-8,The Lost Century Vol. 4,History,Audiobook,2015,26.86,10,3
44,44,978-412-39831-38-0,The Last Clue Vol. 4,Mystery,Paperback,2019,15.78,22,10
45,97,978-137-69614-21-5,Signal Lost,Science Fiction,eBook,2017,31.52,23,10
46,13,978-710-71348-77-4,Between Two Worlds Vol. 5,Fiction,Audiobook,2017,29.27,19,6
47,177,978-950-67340-21-3,The Long Road,Biography,eBook,2021,24.27,11,6
48,141,978-256-72163-18-1,Blood and Stone Vol. 5,Fantasy,eBook,2013,23.5,3,8
49,178,978-505-75799-57-3,The Long Road Vol. 2,Biography,eBook,2018,40.63,2,10
50,31,978-513-25713-82-3,The Glass Garden Vol. 7,Fiction,Paperback,2007,11.32,24,8
51,51,978-393-37549-65-9,Dead by Dawn Vol. 3,Mystery,eBook,2005,22.8,9,6
52,92,978-549-26299-69-4,The Outer Reaches Vol. 4,Science Fiction,eBook,2023,29.22,25,6
53,128,978-529-86983-29-6,The Iron Crown Vol. 8,Fantasy,Paperback,2016,22.2,26,9
54,1,978-242-23434-96-8,The Quiet Hours,Fiction,Hardcover,2012,34.2,7,8
55,172,978-285-91885-31-7,Against All Odds Vol. 4,Biography,Paperback,2009,29.3,9,3
56,20,978-353-39451-18-5,A Thousand Tomorrows Vol. 4,Fiction,Audiobook,2019,39.58,9,3
57,224,978-585-44803-93-9,When Nations Fall Vol. 8,History,Audiobook,2005,28.84,9,8
58,81,978-296-38361-71-4,Orbit Zero,Science Fiction,eBook,2022,13.05,3,2
59,3,978-928-10851-30-6,The Quiet Hours Vol. 3,Fiction,Audiobook,2023,16.48,10,2
60,96,978-978-31079-52-6,The Outer Reaches Vol. 8,Science Fiction,eBook,2015,22.87,11,10
61,247,978-163-81781-74-3,Your Best Self Vol. 7,Self-Help,eBook,2023,11.65,24,10
62,218,978-683-83638-34-5,When Nations Fall Vol. 2,History,Audiobook,2017,21.43,3,3
63,29,978-159-85914-79-0,The Glass Garden Vol. 5,Fiction,Audiobook,2014,14.25,23,9
64,27,978-516-73653-71-3,The Glass Garden Vol. 3,Fiction,Hardcover,2012,41.94,7,9
65,174,978-476-98907-83-7,Against All Odds Vol. 6,Biography,eBook,2020,41.82,10,2
66,157,978-897-32037-19-8,Emberfall Vol. 5,Fantasy,eBook,2012,34.35,11,5
67,124,978-370-80329-25-7,The Iron Crown Vol. 4,Fantasy,eBook,2017,12.06,22,9
68,17,978-345-17592-40-9,A Thousand Tomorrows,Fiction,Hardcover,2016,12.79,27,10
69,223,978-935-12180-57-5,When Nations Fall Vol. 7,History,Audiobook,2014,33.09,27,9
70,159,978-281-92306-73-7,Emberfall Vol. 7,Fantasy,eBook,2009,15.7,1,6
71,39,978-674-11267-24-1,Edge of Home Vol. 7,Fiction,Paperback,2022,34.19,7,1
